day,count
2016-11-19,41213
2016-11-20,20617
2016-11-21,32972
2016-11-22,36749
2016-11-23,34466
2016-11-24,12122
2016-11-25,20980
2016-11-26,23811
2016-11-27,24077
2016-11-28,42091
2016-11-29,14588
2016-11-30,24435
2016-12-01,43242
2016-12-02,42371
2016-12-03,29854
2016-12-04,27455
2016-12-05,35932
2016-12-06,33332
2016-12-07,38021
2016-12-08,39626
2016-12-09,33547
2016-12-10,22379
2016-12-11,17799
2016-12-12,29037
2016-12-13,39025
2016-12-14,37808
2016-12-15,25015
2016-12-16,24490
2016-12-17,6993
2016-12-18,16295
2016-12-19,25649
2016-12-20,27685
2016-12-21,30625
2016-12-22,30889
2016-12-23,26344
2016-12-24,8014
2016-12-25,9924
2016-12-26,10775
2016-12-27,25955
2016-12-28,23601
2016-12-29,13207
2016-12-30,21375
2016-12-31,15928
