station id,station name,station latitude,station longitude
2009,Catherine St & Monroe St,40.71117444,-73.99682619
127,Barrow St & Hudson St,40.73172428,-74.00674436
174,E 25 St & 1 Ave,40.7381765,-73.97738662
316,Fulton St & William St,40.70955958,-74.00653609
536,1 Ave & E 30 St,40.74144387,-73.97536082
259,South St & Whitehall St,40.70122128,-74.01234218
3329,Degraw St & Smith St,40.6829151,-73.99318208
3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
3328,W 100 St & Manhattan Ave,40.795,-73.9645
128,MacDougal St & Prince St,40.72710258,-74.00297088
3141,1 Ave & E 68 St,40.76500525,-73.95818491
3336,E 97 St & Madison Ave,40.787801,-73.953559
3350,W 100 St & Broadway,40.797372100000004,-73.97041192
366,Clinton Ave & Myrtle Ave,40.693261,-73.968896
458,11 Ave & W 27 St,40.751396,-74.00522600000001
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
310,State St & Smith St,40.68926942,-73.98912867
3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717
523,W 38 St & 8 Ave,40.75466591,-73.99138152
2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803
377,6 Ave & Canal St,40.72243797,-74.00566443
330,Reade St & Broadway,40.71450451,-74.00562789
482,W 15 St & 7 Ave,40.73935542,-73.99931783
480,W 53 St & 10 Ave,40.76669671,-73.99061728
280,E 10 St & 5 Ave,40.73331967,-73.99510132
401,Allen St & Rivington St,40.72019576,-73.98997825
455,1 Ave & E 44 St,40.75001986,-73.96905301
368,Carmine St & 6 Ave,40.73038599,-74.00214988
511,E 14 St & Avenue B,40.72938685,-73.97772429
239,Willoughby St & Fleet St,40.69196566,-73.9813018
434,9 Ave & W 18 St,40.74317449,-74.00366443
3165,Central Park West & W 72 St,40.77579376683666,-73.97620573639871
369,Washington Pl & 6 Ave,40.73224119,-74.00026394
505,6 Ave & W 33 St,40.74901271,-73.98848395
324,DeKalb Ave & Hudson Ave,40.689888,-73.981013
476,E 31 St & 3 Ave,40.74394314,-73.97966069
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
390,Duffield St & Willoughby St,40.69221589,-73.9842844
382,University Pl & E 14 St,40.73492695,-73.99200509
497,E 17 St & Broadway,40.73704984,-73.99009296
3375,3 Ave & E 72 St,40.7699426,-73.96060712
281,Grand Army Plaza & Central Park S,40.764397100000004,-73.97371465
507,E 25 St & 2 Ave,40.73912601,-73.97973776
477,W 41 St & 8 Ave,40.75640548,-73.9900262
3402,Court St & State St,40.6902375,-73.99203074
379,W 31 St & 7 Ave,40.749156,-73.9916
460,S 4 St & Wythe Ave,40.71285887,-73.96590294
3164,Columbus Ave & W 72 St,40.7770575,-73.97898475
261,Johnson St & Gold St,40.69474881,-73.98362464
305,E 58 St & 3 Ave,40.76095756,-73.96724467
146,Hudson St & Reade St,40.71625008,-74.0091059
450,W 49 St & 8 Ave,40.76227205,-73.98788205
224,Spruce St & Nassau St,40.71146364,-74.00552427
394,E 9 St & Avenue C,40.72521311,-73.97768752
268,Howard St & Centre St,40.71910537,-73.99973337
3146,E 81 St & 3 Ave,40.77573034,-73.9567526
3401,2 Ave & 9 St,40.6724811,-73.99331394
253,W 13 St & 5 Ave,40.73543934,-73.99453948
439,E 4 St & 2 Ave,40.726280700000004,-73.98978041
513,W 56 St & 10 Ave,40.768254,-73.988639
470,W 20 St & 8 Ave,40.74345335,-74.00004031
417,Barclay St & Church St,40.71291224,-74.01020234
168,W 18 St & 6 Ave,40.73971301,-73.99456405
251,Mott St & Prince St,40.72317958,-73.99480012
3086,Graham Ave & Conselyea St,40.715143,-73.944507
3091,Frost St & Meeker St,40.71764,-73.94882
3102,Driggs Ave & Lorimer St,40.72179134,-73.95041540000001
2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999
3224,W 13 St & Hudson St,40.73997354103409,-74.00513872504234
327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354
2012,E 27 St & 1 Ave,40.739445,-73.97680600000001
3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861
534,Water - Whitehall Plaza,40.70255065,-74.0127234
3431,E 35 St & 3 Ave,40.746524,-73.977885
247,Perry St & Bleecker St,40.73535398,-74.00483091
528,2 Ave & E 31 St,40.74290902,-73.97706058
412,Forsyth St & Canal St,40.715815500000005,-73.99422366
3365,3 St & 7 Ave,40.67038370000001,-73.97839676
2008,Little West St & 1 Pl,40.70569254,-74.01677685
3094,Graham Ave & Withers St,40.7169811,-73.94485918
291,Madison St & Montgomery St,40.713126,-73.984844
466,W 25 St & 6 Ave,40.74395411,-73.99144871
454,E 51 St & 1 Ave,40.75455731,-73.96592976
3125,45 Rd & 11 St,40.74708586,-73.94977234
3236,W 42 St & Dyer Ave,40.75898481399634,-73.99379968643187
151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505
433,E 13 St & Avenue A,40.72955361,-73.98057249
3318,2 Ave & E 96 St,40.7839636,-73.94716729999999
293,Lafayette St & E 8 St,40.73020660529954,-73.99102628231049
492,W 33 St & 7 Ave,40.75019995,-73.99093085
467,Dean St & 4 Ave,40.68312489,-73.97895137
529,W 42 St & 8 Ave,40.75756989999999,-73.99098507
380,W 4 St & 7 Ave S,40.73401143,-74.00293877
285,Broadway & E 14 St,40.73454567,-73.99074142
3383,Cathedral Pkwy & Broadway,40.804213,-73.96699104
143,Clinton St & Joralemon St,40.69239502,-73.99337909
358,Christopher St & Greenwich St,40.73291553,-74.00711384
3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151
258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458
195,Liberty St & Broadway,40.70905623,-74.01043382
79,Franklin St & W Broadway,40.71911552,-74.00666661
119,Park Ave & St Edwards St,40.69608941,-73.97803415
3345,Madison Ave & E 99 St,40.78948541553215,-73.9524292945862
389,Broadway & Berry St,40.71044554,-73.96525063
468,Broadway & W 55 St,40.7652654,-73.98192338
3002,South End Ave & Liberty St,40.711512,-74.01575600000001
428,E 3 St & 1 Ave,40.72467721,-73.98783413
2000,Front St & Washington St,40.70255088,-73.98940236
540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922
307,Canal St & Rutgers St,40.71427487,-73.98990025
257,Lispenard St & Broadway,40.71939226,-74.00247214
3112,Milton St & Franklin St,40.72906,-73.95779
116,W 17 St & 8 Ave,40.74177603,-74.00149746
3259,9 Ave & W 28 St,40.74937024193277,-73.99923384189607
2004,6 Ave & Broome St,40.724399,-74.004704
493,W 45 St & 6 Ave,40.7568001,-73.98291153
254,W 11 St & 6 Ave,40.73532427,-73.99800419
297,E 15 St & 3 Ave,40.734232,-73.986923
