station id,station name,station latitude,station longitude
480,W 53 St & 10 Ave,40.76669671,-73.99061728
463,9 Ave & W 16 St,40.74206539,-74.00443172
3134,3 Ave & E 62 St,40.76312584,-73.96526895
537,Lexington Ave & E 24 St,40.74025878,-73.98409214
284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103
223,W 13 St & 7 Ave,40.73781509,-73.99994661
525,W 34 St & 11 Ave,40.75594159,-74.0021163
490,8 Ave & W 33 St,40.751551,-73.993934
459,W 20 St & 11 Ave,40.746745000000004,-74.007756
345,W 13 St & 6 Ave,40.73649403,-73.99704374
444,Broadway & W 24 St,40.742354299999995,-73.98915076
311,Norfolk St & Broome St,40.7172274,-73.98802084
352,W 56 St & 6 Ave,40.76340613,-73.97722479
274,Lafayette Ave & Fort Greene Pl,40.68691865,-73.976682
334,W 20 St & 7 Ave,40.74238787,-73.99726235
477,W 41 St & 8 Ave,40.75640548,-73.9900262
387,Centre St & Chambers St,40.71273266,-74.0046073
539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116
212,W 16 St & The High Line,40.74334935,-74.00681753
445,E 10 St & Avenue A,40.72740794,-73.98142006
432,E 7 St & Avenue A,40.72621788,-73.98379855
447,8 Ave & W 52 St,40.76370739,-73.9851615
495,W 47 St & 10 Ave,40.76269882,-73.99301222
2021,W 45 St & 8 Ave,40.75929124,-73.98859651
285,Broadway & E 14 St,40.73454567,-73.99074142
257,Lispenard St & Broadway,40.71939226,-74.00247214
3104,Kent Ave & N 7 St,40.72057658,-73.96150225
485,W 37 St & 5 Ave,40.75038009,-73.98338988
531,Forsyth St & Broome St,40.71893904,-73.99266288
326,E 11 St & 1 Ave,40.72953837,-73.98426726
3093,N 6 St & Bedford Ave,40.71745169,-73.95850939
439,E 4 St & 2 Ave,40.726280700000004,-73.98978041
403,E 2 St & 2 Ave,40.72502876,-73.99069656
440,E 45 St & 3 Ave,40.75255434,-73.97282625
458,11 Ave & W 27 St,40.751396,-74.00522600000001
